date,hierarchy,paid_media_digital_video_the_trade_desk_spend_usd,paid_media_retail_spend_usd,paid_media_digital_audio_spotify_spend_usd,paid_media_digital_display_warner_spend_usd,paid_media_traditional_cinema_spend_usd,paid_media_digital_search_bing_spend_usd,owned_media_digital_social_facebook_impressions,paid_media_digital_video_connected_ott_spend_usd,owned_media_digital_video_youtube_views,paid_media_digital_social_snapchat_spend_usd,paid_media_traditional_fixed_television_spend_usd,paid_media_digital_social_other_spend_usd,paid_media_digital_social_x_twitter_spend_usd,paid_media_digital_social_pinterest_spend_usd,paid_media_digital_video_roku_spend_usd,paid_media_traditional_print_spend_usd,paid_media_traditional_radio_spend_usd,paid_media_digital_search_other_spend_usd,paid_media_digital_audio_pandora_spend_usd,owned_media_digital_social_x_twitter_impressions,paid_media_traditional_flex_television_spend_usd,paid_media_traditional_ooh_spend_usd,paid_media_digital_social_tiktok_spend_usd,paid_media_digital_video_google_spend_usd,paid_media_digital_video_youtube_spend_usd,paid_media_digital_audio_other_spend_usd,paid_media_digital_mobile_other_spend_usd,paid_media_digital_social_meta_spend_usd,paid_media_digital_video_hulu_spend_usd,owned_media_digital_social_instagram_impressions,paid_media_digital_search_google_spend_usd,paid_media_digital_video_other_spend_usd,paid_media_digital_display_the_trade_desk_spend_usd,paid_media_digital_video_twitch_spend_usd,paid_media_digital_display_other_spend_usd,weather_population_weighted_average_precipitation_mm,weighted_distribution_unit_case_weighted_average_vs_competitor_weighted_distribution_unit_case_weighted_average_ratio,commercial_execution_sovi_ssd_percentage,macroeconomics_consumer_price_index_seasonally_adjusted,average_selling_price_vs_competitor_average_selling_price_ratio,competitor_weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,competitor_paid_media_digital_internet_spend_usd,commercial_execution_socvi_nartd_percentage,weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,competitor_paid_media_traditional_television_spend_usd,weather_population_weighted_average_temperature_celsius,macroeconomics_yoy_percentage_change_in_real_private_consumption,competitor_paid_media_digital_social_spend_usd,commercial_execution_total_ko_cde,average_selling_price_relative_to_12_week_moving_average_ratio,bottler_promo_spend_usd,varying_intercept,holiday_effect
03-01-2022,brand19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317.9917344,0,0,0,0,0,-42744.58777,125187.7316,137774.5819,-106871.6309,-66133.29016,-145618.4367,-8567.757652,58398.17992,120968.5177,-8678.161171,159938.0041,337100.7313,-2044.620318,136211.9414,-179001.4962,463702.0335,4344859.653,-8106.348001
03-01-2022,brand3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29614.50706,0,98812.02449,-82329.51455,783187.9844,0,0,45721.11749,127812.4866,0,132365.1163,252191.3961,0,96278.09659,-41919.89936,192062.4647,2644056.795,3.12E-17
03-01-2022,brand4,0,0,0,0,0,0,7445.135558,0,0,0,0,0,0,0,0,0,0,0,0,181.530854,0,0,0,0,0,0,0,0,0,144.0512055,0,0,0,0,0,-39510.88571,213083.9786,135781.3444,-96964.76405,-73528.56122,-121477.5268,-694.1742853,57016.09747,33880.62032,-6725.684248,140710.9482,316974.62,-0.759943053,132761.3051,-84422.21281,424508.1633,4193596.373,9.41E-18
03-01-2022,brand8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.009543603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9280.209394,-63966.13149,54646.37078,-21840.72369,-62151.29215,-24601.8613,-322.7858385,17376.59583,16895.53286,-11.54256453,43447.80294,93861.11539,-317.4674837,56270.19039,-42148.76174,21395.60179,967396.4614,6728.487679
10-01-2022,brand0,0,0,0,0,0,0,650.2962099,7549.452198,0,0,0,755.9947048,1782.440354,0,0,0,0,0,0,390.6095705,73059.55467,12686.18213,0,0,2386.942389,0,0,7356.340357,0,446.2479883,0,11419.55905,0,0,18722.05054,-53601.653,455814.1146,308548.5031,-291254.3818,-156296.4582,-403681.7839,-20448.784,130098.1175,130344.6898,-35388.75825,168190.688,807500.1442,-5727.777279,311231.758,-230141.6835,2984425.468,8451475.347,-0.0000704
10-01-2022,brand1,0,0,0,0,15846.04837,0,1125.683914,0,0,0,0,0,0,0,0,0,578.6088655,0,0,1587.117091,0,0,0,0,0,0,0,0,0,752.5314338,0,0,0,0,0,-15317.53934,533923.8317,120053.9352,-62496.70131,17682.60865,-57698.08555,-956.9061253,43898.15905,103413.5654,-1213.992251,48785.19452,246895.6175,-0.515993291,120973.3735,-167680.0545,0,2490638.032,0.000000571
10-01-2022,brand10,0,0,40.86584795,0,193.0909149,0,4.725244486,15.49900414,30.86354651,54.67705487,0,8.390919042,78.31223191,0,0,0,0,0,0,0.171629703,303.8278886,396.491861,0,0,61.96549204,0,0,1272.057786,0,0.414775184,7.194327315,82.72653652,0,0,12.02952356,-6745.311707,84536.89055,41105.53146,-31215.65786,-18666.20916,-29791.16776,-309.5123488,17846.40308,35482.59814,0,23008.00981,106749.1762,-1381.364299,41882.75531,-45546.00275,29986.10749,1034692.765,0.00000263
10-01-2022,brand11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106795146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3184.20659,86604.51118,21045.70598,-13664.81066,-56495.12766,-11410.81751,-573.6871827,9528.006875,24745.94895,-93.15003991,12405.88603,54841.784,-1360.56122,21460.58871,-25121.64227,15270.95751,507847.4385,5279.677619
10-01-2022,brand12,0,0,0,0,7427.526235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4921.941492,32070.01186,34819.30466,-22676.01071,-110725.8609,-17309.99813,-27.03910765,14518.63411,34559.37048,-10.68354602,17462.55836,84695.06203,-70.46490993,36094.21426,-24887.13427,11789.06565,908515.6971,77376.27031
10-01-2022,brand14,0,0,0,0,0,0,0,0,0,0,0,1434.056375,0,0,0,0,0,0,0,0,0,0,0,0,0,215.8310264,0,0,0,0,0,0,0,0,1026.739377,-13435.62376,36233.37627,97438.91817,-59721.08927,150065.9713,-55505.07579,-3403.0559,39732.92251,71461.0066,-0.030457187,48119.25686,246822.1765,-2985.03428,99153.82148,-96436.39044,25866.36293,2632187.611,0.00000246
10-01-2022,brand15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373775462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11133.96355,206934.5531,71474.47767,-54792.46575,201033.4305,-45505.04833,-947.7806384,32712.67464,98552.60264,0,42911.41124,178612.6029,-1960.348655,68830.17365,-138801.7837,123983.3055,1669490.563,-337.5612873
