date,hierarchy,paid_media_digital_video_other_spend_usd,paid_media_digital_social_snapchat_spend_usd,paid_media_digital_search_bing_spend_usd,paid_media_digital_mobile_other_spend_usd,paid_media_digital_display_warner_spend_usd,owned_media_digital_video_youtube_views,paid_media_digital_video_twitch_spend_usd,paid_media_traditional_flex_television_spend_usd,paid_media_digital_video_hulu_spend_usd,paid_media_traditional_cinema_spend_usd,owned_media_digital_social_facebook_impressions,paid_media_traditional_fixed_television_spend_usd,paid_media_digital_search_google_spend_usd,paid_media_digital_social_pinterest_spend_usd,paid_media_digital_video_google_spend_usd,paid_media_digital_social_meta_spend_usd,paid_media_digital_display_the_trade_desk_spend_usd,paid_media_retail_spend_usd,paid_media_digital_video_the_trade_desk_spend_usd,owned_media_digital_social_instagram_impressions,paid_media_digital_social_x_twitter_spend_usd,paid_media_digital_audio_other_spend_usd,paid_media_digital_social_tiktok_spend_usd,paid_media_digital_display_other_spend_usd,paid_media_digital_video_youtube_spend_usd,paid_media_digital_audio_spotify_spend_usd,paid_media_digital_video_connected_ott_spend_usd,owned_media_digital_social_x_twitter_impressions,paid_media_digital_video_roku_spend_usd,paid_media_digital_audio_pandora_spend_usd,paid_media_digital_search_other_spend_usd,paid_media_traditional_print_spend_usd,paid_media_digital_social_other_spend_usd,paid_media_traditional_radio_spend_usd,paid_media_traditional_ooh_spend_usd,competitor_paid_media_digital_social_spend_usd,commercial_execution_socvi_nartd_percentage,commercial_execution_sovi_ssd_percentage,competitor_paid_media_digital_internet_spend_usd,bottler_promo_spend_usd,weighted_distribution_unit_case_weighted_average_vs_competitor_weighted_distribution_unit_case_weighted_average_ratio,weather_population_weighted_average_temperature_celsius,macroeconomics_consumer_price_index_seasonally_adjusted,commercial_execution_total_ko_cde,competitor_weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,average_selling_price_vs_competitor_average_selling_price_ratio,competitor_paid_media_traditional_television_spend_usd,weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,weather_population_weighted_average_precipitation_mm,macroeconomics_yoy_percentage_change_in_real_private_consumption,average_selling_price_relative_to_12_week_moving_average_ratio,varying_intercept,holiday_effect
10-01-2022,brand15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3957E-08,0,0,0,0,0,0,0,-0.000133281,0.002079844,0.002791414,-3.35878E-05,0.001227176,0.002343119,0.001811193,-0.003669426,0.002763605,-0.002756518,0.002508364,0,0.011216029,-0.000521349,0.00220384,-0.003601866,0.041392889,2.64859E-07
10-01-2022,brand18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52268E-06,0,6.4526E-05,0,0,0,0,0,0,3.7897E-05,0,2.05732E-05,0,0,-0.000152938,0.00272471,0.003692454,-0.000120212,0,0.001757545,0.001460646,-0.004270587,0.003639228,-0.00359673,-0.000717106,0,0.015357759,-0.000596873,0.00374851,-0.004163689,0.057292735,2.70199E-08
10-01-2022,brand19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.65804E-06,0,0,0,0,0,0,0,2.92142E-06,0,0,0,0,0,0,0,-7.6601E-05,0.002363962,0.003394565,-0.000192112,0.003067379,0.001042965,0.001310356,-0.004206096,0.003417301,-0.004785494,-0.000233323,-0.00143144,0.018811292,-0.000583966,0.002455898,-0.004270489,0.041878058,2.25591E-09
10-01-2022,brand3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002204186,0.002794991,0,0.001490064,0,0.001084801,-0.004808577,0.002799432,0,0.009362918,0,0.010596421,-0.000530964,0.002177819,-0.004167326,0.045173565,9.06732E-09
10-01-2022,brand4,0,0,0,0,0,0,0,0,0,0,6.48561E-05,0,0,0,0,0,0,0,0,1.54599E-06,0,0,0,0,0,0,0,2.80362E-06,0,0,0,0,0,0,0,-3.42493E-08,0.002706394,0.003457178,-1.93339E-05,0.00352272,0.001665516,0.001829397,-0.00538149,0.003440183,-0.005586123,-0.000324165,-0.002056177,0.020868156,-0.000627206,0.002381841,-0.005167456,0.042047378,2.15311E-08
10-01-2022,brand8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2855E-08,0,0,0,0,0,0,0,-2.11078E-05,0.001147712,0.001433587,-1.19444E-05,0.000229536,-0.000558833,0.000714926,-0.001482584,0.001421018,-0.001482854,-0.00034341,-1.45765E-06,0.004796547,-0.000220869,0.001110765,-0.00144314,0.016191427,6.73499E-07
17-01-2022,brand0,0.000156764,0,0,0,0,0,0,0.000254744,0,0,3.79902E-05,0,0,0,0,8.57852E-05,0,0,0,2.47065E-06,6.56962E-05,0,0,0.000174894,6.74482E-05,0,0.000115277,9.03167E-06,0,0,0,0,2.27994E-05,0,0.000131238,-0.000178697,0.003957606,0.005041477,-0.00029967,0.009814112,0.001989425,0.002954895,-0.00802065,0.005097437,-0.008547845,-0.000767832,-0.009383783,0.029122813,-0.000476004,0.003461874,-0.007475649,0.066261814,0.045409608
17-01-2022,brand1,0,0,0,0,0,0,0,0,0,4.61645E-05,9.64153E-06,0,0,0,0,0,0,0,0,1.44417E-06,0,0,0,0,0,0,0,3.60465E-06,0,0,0,0,1.04119E-06,4.87209E-06,0,-9.40952E-09,0.000822065,0.001072983,-9.36158E-06,0,0.001634787,0.000717584,-0.001221275,0.001070414,-0.000990547,9.58235E-05,-3.25061E-06,0.005256061,-9.23513E-05,0.000821274,-0.001195028,0.012673174,0.008630385
17-01-2022,brand10,1.19398E-05,9.49167E-06,0,0,0,1.02525E-05,0,2.35065E-05,0,1.87292E-05,3.62628E-07,0,3.04393E-06,0,0,2.00353E-05,0,0,0,2.37534E-07,1.41197E-05,0,0,1.38075E-06,1.089E-05,5.36808E-06,3.47475E-06,1.07231E-07,0,0,0,0,3.45564E-06,0,4.71486E-05,-3.84512E-05,0.000531081,0.000637491,-4.57209E-06,0.000103981,0.000369146,0.00058816,-0.001110737,0.000642736,-0.000816149,-5.02401E-05,0,0.002770868,-6.56422E-05,0.000479504,-0.001038326,0.00548944,0.010752555
17-01-2022,brand11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46532E-09,0,0,0,0,0,0,0,-4.68232E-05,0.000347636,0.000376307,-1.094E-05,6.86218E-05,0.000407075,0.000402721,-0.000652957,0.000381537,-0.000435384,-0.000927041,-8.8555E-06,0.001705566,-3.98949E-05,0.000234638,-0.00064415,-0.000233957,0.000111696
17-01-2022,brand12,0,0,0,0,0,0,0,0,0,1.28372E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.47728E-06,0.000337513,0.000451951,-3.24271E-07,3.19059E-05,0.000140317,0.00028338,-0.000439925,0.000445198,-0.000300665,-0.00065347,0,0.001314409,-3.64003E-05,0.000383369,-0.000429741,0.004481842,0.005899805
17-01-2022,brand14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5464E-06,0,2.10416E-06,0,0,0,0,0,0,0,0,4.46056E-06,0,0,-0.000126051,0.001604487,0.002309139,-7.81269E-05,0.00012875,0.000236937,0.00147314,-0.002557356,0.002270495,-0.002046391,0.001227477,-0.000200281,0.007788856,-0.000209155,0.003018331,-0.002446966,0.058525114,0.0209549
17-01-2022,brand15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53036E-07,0,0,0,0,0,0,0,-8.38341E-05,0.001308229,0.001755808,-2.11268E-05,0.000661568,0.001180815,0.002080534,-0.002308081,0.001738317,-0.001757869,0.001516025,0,0.007054919,-0.000174619,0.001386222,-0.002291791,0.025681516,0.00919992
