date,hierarchy,owned_media_digital_social_linkedin_impressions,owned_media_digital_social_instagram_impressions,paid_media_digital_social_pinterest_spend_usd,paid_media_traditional_radio_spend_usd,paid_media_traditional_fixed_and_flex_television_spend_usd,paid_media_traditional_other_spend_usd,paid_media_digital_social_tiktok_spend_usd,paid_media_traditional_cinema_spend_usd,paid_media_digital_video_youtube_spend_usd,paid_media_digital_display_youtube_spend_usd,paid_media_digital_mobile_other_spend_usd,paid_media_digital_video_other_spend_usd,paid_media_digital_video_twitch_spend_usd,paid_media_digital_social_snapchat_spend_usd,paid_media_traditional_flex_television_spend_usd,paid_media_digital_audio_other_spend_usd,paid_media_traditional_ooh_spend_usd,paid_media_digital_other_other_spend_usd,paid_media_digital_audio_spotify_spend_usd,paid_media_digital_search_google_spend_usd,paid_media_digital_video_google_spend_usd,paid_media_digital_display_google_display_network_spend_usd,paid_media_digital_display_other_spend_usd,paid_media_retail_spend_usd,paid_media_digital_display_google_spend_usd,paid_media_digital_social_meta_spend_usd,owned_media_digital_social_x_twitter_impressions,paid_media_digital_social_other_spend_usd,paid_media_digital_video_netflix_spend_usd,owned_media_digital_social_facebook_impressions,owned_media_digital_video_youtube_views,paid_media_digital_search_other_spend_usd,average_selling_price_vs_competitor_average_selling_price_ratio,average_selling_price_relative_to_12_week_moving_average_ratio,weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,commercial_execution_sovi_ssd_percentage,competitor_paid_media_traditional_television_spend_usd,macroeconomics_yoy_percentage_change_in_real_private_consumption,competitor_weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,weighted_distribution_unit_case_weighted_average_vs_competitor_weighted_distribution_unit_case_weighted_average_ratio,weather_population_weighted_average_precipitation_mm,competitor_paid_media_digital_social_spend_usd,commercial_execution_total_ko_cde,commercial_execution_socvi_nartd_percentage,competitor_paid_media_digital_internet_spend_usd,weather_population_weighted_average_temperature_celsius,macroeconomics_consumer_price_index_seasonally_adjusted,varying_intercept,holiday_effect
17-01-2022,brand1,0,7.857525003,0,0,0,0,0,0,15.14019708,0,0,19.72256432,0,0,0,0,0,0,0,0,0,0,0,0,0,47.1388904,44.90775641,8.6537245,0,4.216126382,0.394520311,0,-5240.504467,-563.9722597,175.999879,1838.828787,0,740.3633991,-2014.113864,-1693.674949,-983.2245307,0,2040.262768,2008.676686,0,3248.446767,-1842.186848,46441.2675,-0.000173834
17-01-2022,brand13,0,32.53416149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.107931863,0,0,4.156275717,0,0,-2831.468965,-9921.549352,2295.155635,4316.130017,0,1767.773761,-3675.516738,5205.094875,-2909.91382,0,4384.974202,4557.353351,0,7419.7535,-6103.144215,160250.8572,545.7239826
17-01-2022,brand19,0,0,0,0,0,0,0,0,389.1780636,0,0,518.0161663,0,0,0,983.47859,0,0,0,0,0,0,0,0,0,649.5386425,1.226784074,399.253133,0,0,0,19.61636115,3496.549996,-3928.196406,33480.43892,25479.89634,0,10099.33469,-41331.03841,6219.701111,-19577.13764,0,27511.99471,27788.3838,0,54174.04762,-34518.35874,994472.0053,3447.870916
17-01-2022,brand2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10141.96847,-15083.13192,42272.69835,68490.26323,0,25934.30921,-50421.07789,53121.69464,-44977.40706,0,71590.2639,74005.15733,0,121600.8472,-97024.9011,2288348.053,8040.042578
17-01-2022,brand4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-167.4917479,-50.7896247,36.11041778,73.50163565,0,28.34293437,-76.22912418,-79.23078738,-40.17610578,0,79.89111526,89.20441077,0,215.4586432,-69.39983023,1238.188158,117.0199048
17-01-2022,brand8,0,222.0975561,0,0,0,0,0,0,6264.806276,0,0,4250.46916,0,0,0,4103.597593,8756.904681,0,0,0,0,0,15705.77704,0,0,9354.497939,4350.300268,3862.897012,0,0,0,0,-16321.6644,-13331.21239,95846.02911,91938.0315,-32157.02645,33233.89636,-129191.52,6921.792191,-56748.19168,0,101317.5865,93752.25787,0,189763.5839,-121955.8452,3327852.326,0.0093893
24-01-2022,brand0,0,1227.595702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93956.66287,0,0,5134.058754,172.0607389,0,-433083.3049,-73802.98546,390998.1104,571995.3494,-176440.5572,228890.928,-692018.4198,385612.2417,-230241.3656,0,566641.1551,582623.1441,0,1316014.17,-690148.6729,19503713.23,1.84148E-05
24-01-2022,brand1,0,1.528909933,0,0,0,0,0,0,16.22376944,0,0,20.12358937,0,0,0,0,0,0,0,0,0,0,0,0,0,50.09147846,75.04560489,10.35418925,0,4.869157345,0.122276731,0,-5025.499209,-433.609106,0,1763.386077,0,709.9880745,-1931.47963,-1624.18755,-593.3629636,0,1956.555707,1926.265526,0,3565.059072,-1766.606365,45579.33139,-1.66677E-06
24-01-2022,brand13,0,17.92627963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.679577765,0,0,3.919014044,0,0,-2705.927937,-9481.649949,677.4764102,4124.762424,0,1689.39461,-3512.552512,4974.312561,-1750.032702,0,4190.554212,4355.290453,0,8037.66599,-5832.544393,159841.1292,710.618615
24-01-2022,brand19,0,18.90573315,0,0,0,0,0,0,496.6246229,0,0,571.9324311,0,0,0,1046.920462,0,0,0,0,0,0,0,0,0,659.8946721,0.928574275,451.1047805,0,80.96776213,0,20.74894834,3372.937164,-1667.825735,23996.27766,24579.11067,0,9742.294935,-39869.87048,5999.817262,-11884.45632,0,26539.36867,26805.98663,0,60384.23458,-33298.03811,987949.5026,3778.432455
