date,hierarchy,owned_media_digital_social_instagram_impressions,paid_media_digital_video_other_spend_usd,paid_media_digital_social_pinterest_spend_usd,paid_media_digital_display_youtube_spend_usd,paid_media_digital_display_google_display_network_spend_usd,paid_media_digital_mobile_other_spend_usd,paid_media_digital_search_other_spend_usd,paid_media_traditional_flex_television_spend_usd,paid_media_digital_video_youtube_spend_usd,owned_media_digital_social_x_twitter_impressions,paid_media_digital_video_netflix_spend_usd,owned_media_digital_video_youtube_views,paid_media_traditional_fixed_and_flex_television_spend_usd,paid_media_digital_social_x_twitter_spend_usd,paid_media_traditional_print_spend_usd,owned_media_digital_social_facebook_impressions,paid_media_digital_video_twitch_spend_usd,paid_media_digital_audio_spotify_spend_usd,paid_media_digital_social_other_spend_usd,paid_media_digital_social_snapchat_spend_usd,paid_media_traditional_other_spend_usd,paid_media_traditional_radio_spend_usd,paid_media_retail_spend_usd,paid_media_digital_display_google_spend_usd,paid_media_digital_social_tiktok_spend_usd,paid_media_digital_display_other_spend_usd,paid_media_traditional_cinema_spend_usd,paid_media_digital_search_google_spend_usd,paid_media_digital_other_other_spend_usd,paid_media_digital_video_google_spend_usd,paid_media_digital_audio_other_spend_usd,paid_media_digital_social_meta_spend_usd,paid_media_traditional_ooh_spend_usd,weather_population_weighted_average_temperature_celsius,competitor_paid_media_traditional_television_spend_usd,weather_population_weighted_average_precipitation_mm,commercial_execution_sovi_ssd_percentage,weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,average_selling_price_vs_competitor_average_selling_price_ratio,competitor_weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,average_selling_price_relative_to_12_week_moving_average_ratio,macroeconomics_yoy_percentage_change_in_real_private_consumption,competitor_paid_media_digital_internet_spend_usd,competitor_paid_media_digital_social_spend_usd,weighted_distribution_unit_case_weighted_average_vs_competitor_weighted_distribution_unit_case_weighted_average_ratio,commercial_execution_socvi_nartd_percentage,weather_population_weighted_average_temperature_celsius_squared,macroeconomics_consumer_price_index_seasonally_adjusted,commercial_execution_total_ko_cde,varying_intercept,holiday_effect
2022-01-10,brand8,244.7974929154324,5183.1225219518,0.0,0.0,0.0,0.0,0.0,0.0,5885.838543904431,3424.3452043640727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5627.043029816332,0.0,0.0,0.0,0.0,0.0,0.0,18793.50288286168,0.0,0.0,0.0,0.0,4297.350128131487,18899.621038623118,4472.559591669659,220488.10983908526,-69766.64672582794,-112398.61914462408,212315.03960560894,130894.39926632436,-110325.1029216326,-193183.30040866687,-69802.30438368797,94789.03662927545,0.0,0.0,27680.550735173885,197240.21126656857,416501.7282092754,-248771.33606174175,214326.40244186867,2850574.5872677434,440.263951019845
2022-01-17,brand0,3065.206240062458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14784.214171956708,0.0,346.5518056946774,0.0,0.0,0.0,1751.7805572926877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1429555.2377560306,-286879.4778906572,-421826.32748743054,579204.0022995414,700849.2585189659,-585646.6343163489,-1233422.2053465662,-358389.0369197335,511405.4394238185,0.0,0.0,519627.94070668635,1118731.7790017289,2937596.489389458,-1461885.4934298818,968083.998361839,16914938.91789592,187.95926162462055
2022-01-17,brand1,0.0,41.492847256065524,0.0,0.0,0.0,0.0,0.0,0.0,82.03044706520734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.29521325441405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.1801566624097,0.0,3843.8423795546532,0.0,-1101.6695560995017,3651.132806376361,0.0,-6747.960614372136,-4107.8161221384435,-847.6740703494024,1746.249252913198,0.0,0.0,-2951.5582258448326,3669.233167792592,9910.515263486934,-3496.0446210265395,3341.898766989684,36728.2556990657,0.7972094136354491
2022-01-17,brand13,29.136678831840324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0260778970915245,0.0,0.0,0.0,0.0,0.0,1.9312395895405194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9835.82457719155,0.0,-3905.739176127758,5482.930245798628,1722.420225105816,-3591.1929986522387,-6083.515166774591,-2066.123894475688,4292.5251214228765,0.0,0.0,8378.159628272018,8987.061842718489,24176.115846242807,-13279.66385886445,8403.15500992012,122866.09721080434,87.8732297751833
2022-01-17,brand19,0.0,1218.3923024870896,0.0,0.0,0.0,0.0,32.97465242962607,0.0,850.4405092005895,1.6219929307305576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1311.5143961308254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650.867557811383,2317.9033440129974,0.0,66779.56716787178,0.0,-19118.444164878638,45607.810824595406,26014.3894813222,21450.724836514586,-104019.38409523641,-15957.036740258729,22791.912915351946,0.0,0.0,6893.446488360567,50078.154279216964,141786.13544907066,-62103.60156437926,50762.38587012555,817603.1462678281,31822.87822949212
2022-01-17,brand2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161229.75403142913,0.0,-69736.59450090415,148440.8012996518,23220.609171731398,-12026.224264429049,-89807.79675430045,-33637.7772942695,58380.302127073905,0.0,0.0,77083.89594802975,129668.15470325829,339503.8260380508,-183849.0432167956,101060.79586711747,1773574.309392197,112649.8307068266
2022-01-17,brand4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.31212354596954,0.0,-34.77774666940264,116.18335489317349,18.46323029576179,-197.47031466491325,-117.09901290423386,-47.96675224362241,64.8982928127445,0.0,0.0,-98.62551057855887,120.8777826893281,362.98436723613264,-130.11171643533334,141.79682396934646,1022.9898682660582,15.945209787549725
2022-01-17,brand8,324.3927671790269,5571.863893663258,0.0,0.0,0.0,0.0,0.0,0.0,6174.257816963959,5956.340591612148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6294.305557951568,0.0,0.0,0.0,0.0,0.0,0.0,20498.421383604393,0.0,0.0,0.0,0.0,4301.9751189093995,21189.515585907746,5160.5069172836575,228802.18233624136,-43840.872511569694,-60858.918737479966,200474.87107802441,89414.74418319494,-104172.60513418561,-182410.051194657,-52553.36205657554,89502.93833712056,0.0,0.0,26136.890021125462,186240.72038664483,450385.5495376836,-234898.10998564807,202374.06628359875,2757754.2523500305,7.325473376504201
2022-01-24,brand0,596.1851861978371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25804.61240674439,0.0,62.78313206192379,0.0,0.0,0.0,2001.4568581502842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1376201.3971086843,-258286.42628696174,-495566.168528599,577075.5320380342,681398.4170527132,-583494.4885439696,-1228889.601162997,-350963.4215098943,509526.11665487173,0.0,0.0,517718.4017282757,1114620.6414530333,2885459.6923672,-1456513.3278610306,964526.4642409189,17070789.276945867,12.05672070500646
2022-01-24,brand1,0.0,44.40767608135964,0.0,0.0,0.0,0.0,0.0,0.0,85.80821655754433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.14452110987924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.9265338699117,0.0,3829.701813255695,0.0,-1307.0637536808251,3673.721176597659,22.09399333437659,-6789.708050217246,-4133.229843382938,-877.6175234883876,1757.0527286330023,0.0,0.0,-2969.8185558494456,3691.933519058264,9830.97430736408,-3517.673511126623,3362.574006865656,37017.939093951194,0.033651066836339394
