date,hierarchy,paid_media_digital_audio_spotify_spend_usd,paid_media_traditional_ooh_spend_usd,paid_media_digital_search_bing_spend_usd,owned_media_digital_social_x_twitter_impressions,paid_media_traditional_fixed_television_spend_usd,owned_media_digital_video_youtube_views,paid_media_digital_social_x_twitter_spend_usd,paid_media_digital_video_google_spend_usd,paid_media_digital_video_youtube_spend_usd,paid_media_digital_mobile_other_spend_usd,owned_media_digital_social_instagram_impressions,paid_media_retail_spend_usd,paid_media_digital_display_other_spend_usd,paid_media_digital_social_pinterest_spend_usd,paid_media_traditional_radio_spend_usd,paid_media_digital_audio_pandora_spend_usd,paid_media_digital_search_other_spend_usd,paid_media_digital_social_snapchat_spend_usd,paid_media_traditional_flex_television_spend_usd,paid_media_digital_video_other_spend_usd,paid_media_digital_video_hulu_spend_usd,paid_media_digital_audio_other_spend_usd,owned_media_digital_social_facebook_impressions,paid_media_digital_video_roku_spend_usd,paid_media_traditional_print_spend_usd,paid_media_digital_social_meta_spend_usd,paid_media_digital_video_connected_ott_spend_usd,paid_media_digital_video_the_trade_desk_spend_usd,paid_media_digital_search_google_spend_usd,paid_media_digital_social_other_spend_usd,paid_media_digital_video_twitch_spend_usd,paid_media_digital_display_warner_spend_usd,paid_media_traditional_cinema_spend_usd,paid_media_digital_social_tiktok_spend_usd,bottler_promo_spend_usd,weather_population_weighted_average_temperature_celsius_squared,commercial_execution_sovi_ssd_percentage,competitor_paid_media_digital_social_spend_usd,competitor_weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,average_selling_price_vs_competitor_average_selling_price_ratio,weather_population_weighted_average_temperature_celsius,weighted_distribution_unit_case_weighted_average_vs_competitor_weighted_distribution_unit_case_weighted_average_ratio,average_selling_price_relative_to_12_week_moving_average_ratio,commercial_execution_socvi_nartd_percentage,weather_population_weighted_average_precipitation_mm,competitor_paid_media_digital_internet_spend_usd,macroeconomics_consumer_price_index_seasonally_adjusted,competitor_paid_media_traditional_television_spend_usd,macroeconomics_yoy_percentage_change_in_real_private_consumption,weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,commercial_execution_total_ko_cde,varying_intercept,holiday_effect
2022-10-17,brand3,0.0,0.0,0.0,0.3696284999211392,0.0,0.0,0.0,0.0,0.0,0.0,0.4982107122383922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.41933634018953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401098.1999885153,206625.70439766475,46454.72217180715,0.0,0.0,533312.0465564805,163874.9424768337,0.0,-88159.15995405917,24463.903319664183,-4417.295656715576,0.0,-285957.0562172143,0.0,23833.31340148132,120052.45994940726,58838.47986605242,2570770.1635244954,3.5223347373519995e-08
2022-10-17,brand4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.3386206282077,13270.250470328032,0.0,0.0,0.0,0.0,8309.469259086887,0.0,8770.393544824487,0.0,0.0,0.0,0.0,0.0,27726.78750095419,0.0,0.0,0.0,471.92961249815505,0.0,0.0,0.0,0.0,1153550.3572496136,46477.09710694608,61650.23377848966,-2631.5581269899812,-247004.25849946582,-174227.44030228976,202847.76200446836,343222.5260828652,-141870.3100661242,31836.88956457004,-6166.3306943538455,-7086.22919589201,-310581.3064437188,-5712.069537928345,33413.21772766909,130029.76528852759,77241.40207447055,4186809.352980703,1.1909729382761301e-07
2022-10-17,brand8,0.0,0.0,0.0,11.519179498170669,0.0,0.0,0.0,0.0,0.0,0.0,98.70220700883326,31.219027707697062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297498.9366091845,28569.161364739546,16991.13850738153,-2759.185940790321,-35927.368762725055,-58477.1729610268,72063.42654789482,-54639.61926976868,-38206.118464557745,8507.003943775531,-1491.656796144856,-1954.5420432464277,-32286.617605799376,-732.3123035576369,9610.5282839097,36385.303849547985,21936.838079572408,948844.6391728076,91391.07437458917
2022-10-24,brand0,10973.778372795528,113510.09523021974,0.0,671.5982242660588,0.0,0.0,3110.999751151083,0.0,11319.286604640518,0.0,486.00011667065604,6839.680535981295,121637.32456530465,0.0,1353.4949595515748,0.0,167.62714858620683,38181.24673505633,150064.302142866,55364.46998800107,0.0,3395.596533737116,888.7917238689032,0.0,193.30621592085842,56062.92665298591,4637.453706953425,0.0,4678.308318915028,3588.0465542638376,0.0,0.0,95568.63608916177,55049.8957575426,2087159.818019284,292142.2990500734,156020.9502855122,-61336.378127151474,-683935.3944696302,-240757.4377125301,689452.6480136944,656493.7899430426,-570999.5899439384,80574.5655128015,-65692.23611716721,-66774.34509210364,-790274.9862031423,-63430.08457053938,89482.58753011696,650453.9599969885,193617.9910699375,10130156.181331675,329383.5965546387
2022-10-24,brand1,0.0,175.78365770295255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5793.510779915989,1985.938901563353,0.0,0.0,0.0,0.0,0.0,1.8238124067417818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676165.6958679543,40831.705170947935,41201.2421796841,-1772.7380049835008,-134389.36721041612,-90229.75021363764,151386.84431871958,194365.92433824437,-67803.9858360372,21099.964246255313,-16141.95683691226,-6202.4514843003935,-160195.7310202645,-3066.9406555889823,22390.60389361802,97097.31450286682,50986.29471368869,2768854.0838784417,1.298682248841845e-07
2022-10-24,brand10,74.27300673175016,188.13989546835634,0.0,0.07943404495808239,0.0,0.0,39.9665991274242,0.0,53.36443587308455,0.0,0.1143860902987413,3.056650563656998,163.98836239858716,0.0,0.0,0.0,0.0,62.30213862703675,239.19514199829098,143.69837550516303,0.0,9.033342228495263,0.38552078307889037,0.0,0.3114492955697471,1031.035068503042,20.05146177626123,0.0,0.8189742640271083,9.414890724187826,0.0,0.0,56.39638788859624,0.0,81635.18060330869,100693.93816636823,17169.931922036478,-1134.2057746391342,-45308.1042951812,-4687.383527572615,85116.22454096728,114212.12476832113,-24637.066129865358,8909.85021626608,-7917.69029793534,-377.6450452709499,-66611.82116575053,0.0,9681.177961377769,24240.857117604755,21472.828867442193,1107722.9795503733,2.574907400062427e-07
2022-10-24,brand11,4139.120815335764,0.0,0.0,2.7470358550338614,0.0,0.0,414.2385009091409,0.0,528.036878398324,0.0,1.088670602037358,83.66093920203224,84.31166960916802,0.0,0.0,0.0,0.0,845.7604852561842,0.22365289955864634,2583.6126596422896,0.0,2249.631680898489,0.0,0.0,0.0,2437.507741586771,59.85941617770176,0.0,11.638520189623947,0.0,0.0,0.0,631.5001611014675,1859.4628079258412,81940.65726285648,48738.62629755811,8218.03481207814,-2776.428809443549,-19627.83885767173,-47132.11191277463,38553.59478893472,61064.07029085494,-20742.12007840787,4457.5386043350245,-3445.7281351348847,-1915.3160031010532,-28349.235197865204,-909.9180670141639,4472.138301629385,14832.701152620168,10317.127955098145,513693.83795985655,1.977767012867011e-09
2022-10-24,brand12,338.077210626336,0.0,0.0,0.14253229231085954,0.0,0.0,307.24980502812224,0.0,146.83837313327743,0.0,0.030017759945953664,0.0,2490.6014010357458,0.0,0.0,0.0,197.59269603638998,22.68001621052692,16.995582820222396,335.53216206582783,0.0,30.471883899166393,5.169980459692308,0.0,0.0,1098.074347183056,80.79791920797454,0.0,0.0,305.44073467487664,0.0,0.0,1812.4376407931595,0.0,100659.18773898855,45089.640191763996,13807.866376308384,-2101.34974417742,-24587.07562068848,-70815.53719018615,59415.37150294316,44193.82973674756,-12207.396400952493,7162.191221205053,-5569.347760081443,-1437.5156507132374,-33765.9986590515,-245.1763720240976,7751.111086591229,17761.07148861891,17399.457489018256,965747.31143977,44656.43082269291
2022-10-24,brand14,0.0,0.0,0.0,0.22122910604448537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4215.148686952295,304.1955584658762,0.0,0.0,0.0,803.975797131107,10580.655258392064,0.0,13016.256766600212,0.0,0.0,0.0,0.0,0.0,13381.229590658497,15916.542331804594,0.0,0.0,360.47040307687337,0.0,0.0,0.0,0.0,208936.17434865623,74378.25638749338,30790.87716298936,-9161.134658425139,-60873.67886454749,128014.11287713598,123878.47477861258,-66839.74267713758,-19351.135653132806,15597.293347689692,-11498.147996950602,-2983.729508447841,-73123.02003582634,-1428.56969818433,17755.91636018022,50383.49620724277,38874.47740175298,1973205.7575984492,2.615701204554709e-07
2022-10-24,brand15,0.0,593.2107960363528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.90093302862408,15429.118518304016,0.0,0.0,0.0,252.90789109860538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375039.9793759074,216119.37858096597,27188.047745796342,-6185.385312696778,-118039.24878226186,227659.20613310477,143043.2353457761,57823.96212374513,-85368.92904612527,15225.292098256345,-11915.763931179132,-4678.076864343087,-228894.21970242565,-2886.0555516411496,14816.125566716108,60029.131515673245,34270.68744074081,1544316.0481255301,-7.615567994944704e-09
