date,hierarchy,paid_media_traditional_flex_television_spend_usd,paid_media_traditional_other_spend_usd,paid_media_digital_audio_spotify_spend_usd,paid_media_traditional_cinema_spend_usd,paid_media_digital_video_twitch_spend_usd,owned_media_digital_social_instagram_impressions,paid_media_retail_spend_usd,paid_media_digital_video_netflix_spend_usd,owned_media_digital_video_youtube_views,paid_media_digital_video_other_spend_usd,paid_media_digital_other_other_spend_usd,paid_media_digital_video_connected_ott_spend_usd,paid_media_traditional_print_spend_usd,paid_media_digital_video_youtube_spend_usd,paid_media_traditional_ooh_spend_usd,paid_media_digital_social_meta_spend_usd,owned_media_digital_social_x_twitter_impressions,paid_media_digital_video_the_trade_desk_spend_usd,paid_media_digital_audio_other_spend_usd,paid_media_digital_display_youtube_spend_usd,paid_media_digital_social_pinterest_spend_usd,paid_media_digital_social_tiktok_spend_usd,paid_media_traditional_radio_spend_usd,paid_media_digital_social_x_twitter_spend_usd,paid_media_digital_social_other_spend_usd,paid_media_digital_mobile_other_spend_usd,paid_media_digital_search_google_spend_usd,paid_media_digital_display_other_spend_usd,paid_media_digital_social_snapchat_spend_usd,owned_media_digital_social_facebook_impressions,paid_media_digital_display_google_spend_usd,weather_population_weighted_average_temperature_celsius,weighted_distribution_unit_case_weighted_average_vs_competitor_weighted_distribution_unit_case_weighted_average_ratio,competitor_weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,bottler_promo_spend_usd,competitor_paid_media_digital_internet_spend_usd,commercial_execution_socvi_nartd_percentage,average_selling_price_relative_to_12_week_moving_average_ratio,average_selling_price_vs_competitor_average_selling_price_ratio,weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,macroeconomics_consumer_price_index_seasonally_adjusted,commercial_execution_total_ko_cde,competitor_paid_media_traditional_television_spend_usd,macroeconomics_yoy_percentage_change_in_real_private_consumption,weather_population_weighted_average_precipitation_mm,commercial_execution_sovi_ssd_percentage,competitor_paid_media_digital_social_spend_usd,varying_intercept,holiday_effect
10-01-2022,brand8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002971991,0.002045741,-0.006806631,0,0,0.004652979,-0.004785909,-0.00026818,0.018492819,-0.005482239,0.004352588,0,0.002470853,-0.001819717,0.00424845,0,0.052305853,2.79011E-06
17-01-2022,brand0,0,0,0,0,0,0,0,0,4.20613E-10,0,0,0,0,0,0,0,3.80725E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003483136,0.000159052,-0.007191079,0,0,0.004348768,-0.003980321,-0.001993046,0.019034597,-0.004688694,0.004078359,0,0.002280793,-0.000323363,0.00399717,0,0.04838798,7.48162E-15
17-01-2022,brand1,0,0,0,0,0,0,0,0,3.51124E-10,0,0,0,0,0,0,0,3.53516E-05,0,0,0,0,0,0,0,8.60027E-05,0,0,0,0,0,0,0.002954436,7.06564E-05,-0.007333737,0.001127238,0,0.003697114,-0.004287849,-0.000712585,0.016336921,-0.004793527,0.00350207,0,0.002023978,-0.000338288,0.003452119,0,0.04204605,1.48212E-07
17-01-2022,brand10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-01-2022,brand17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00374824,0.007231658,-0.004996784,0,0,0.004603868,-0.00701234,0.001865091,0.015863286,-0.007539049,0.00433498,0,0.002560046,-0.000403175,0.004229038,0,0.032649702,5.7601E-07
17-01-2022,brand19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00092601,-0.000390326,-0.001859291,0,0,0.001302486,-0.001237061,-6.06684E-05,0.003494052,-0.00151166,0.001201986,0,0.000793293,-0.000102251,0.001198715,0,0.016957575,4.1356E-08
17-01-2022,brand4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003616886,0.000181376,-0.010125064,0.002254,0,0.005412082,-0.005404504,-0.00178803,0.02302224,-0.006734146,0.00518178,0,0.003231302,-0.000421177,0.005134693,0,0.067743706,1.35202E-10
17-01-2022,brand5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-01-2022,brand7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001351956,0.000125442,-0.003860329,0,0,0.0020379,-0.002159809,0.000428477,0.007935242,-0.002693625,0.001938924,-1.85792E-05,0.001170273,-0.000180721,0.00190013,0,0.024412128,7.97201E-09
17-01-2022,brand8,7.47953E-05,0,0,0,0,1.0026E-05,0,0,0,0,0,0,0,0,0,0.00040867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004377597,0.002493684,-0.008767596,0,0,0.005993485,-0.00621706,-0.000557916,0.023820533,-0.007061652,0.005606553,0,0.003182697,-0.000457007,0.005472413,0,0.066589925,2.74152E-08
